,price,area_tot,area_build,lon,lat
83897,741139.0,386.0,0.0,6.072922,46.319225
83912,716500.0,2731.0,0.0,6.072922,46.319225
83927,15000.0,727.0,0.0,6.072922,46.319225
83957,741139.0,338.0,0.0,6.068902,46.323598
83997,582000.0,4643.0,0.0,6.072211,46.316697
84011,575000.0,4643.0,0.0,6.072211,46.316697
84025,240000.0,738.0,0.0,6.072498,46.3115
84048,289000.0,738.0,0.0,6.072498,46.3115
84071,283200.0,810.0,0.0,6.072498,46.3115
84094,240000.0,738.0,0.0,6.072498,46.3115
84117,205000.0,900.0,0.0,6.072498,46.3115
84140,189175.0,667.0,0.0,6.072498,46.3115
84163,192000.0,900.0,75.0,6.072498,46.3115
84209,350000.0,785.0,0.0,6.0821559999999995,46.318940000000005
84236,760000.0,1914.0,0.0,6.084188,46.3195
84237,6000.0,95.0,0.0,6.067775,46.313201
84263,280000.0,798.0,0.0,6.067775,46.313201
84393,377500.0,839.0,0.0,6.0833,46.319952
84401,979200.0,2176.0,0.0,6.0833,46.319952
84409,1032000.0,2294.0,0.0,6.0833,46.319952
84417,1818000.0,4040.0,0.0,6.0833,46.319952
84425,11788790.0,0.0,0.0,6.0833,46.319952
84433,472000.0,187.0,0.0,6.065947,46.325012
84443,445000.0,322.0,0.0,6.065947,46.325012
84453,463000.0,235.0,0.0,6.065947,46.325012
84463,466000.0,224.0,0.0,6.065947,46.325012
84473,472000.0,225.0,0.0,6.065947,46.325012
84483,455000.0,317.0,0.0,6.065947,46.325012
84493,650000.0,105.0,0.0,6.065947,46.325012
84503,461000.0,254.0,0.0,6.065947,46.325012
84513,472000.0,196.0,0.0,6.065947,46.325012
84523,472000.0,286.0,0.0,6.065947,46.325012
84533,430000.0,245.0,0.0,6.065947,46.325012
84543,448000.0,322.0,0.0,6.065947,46.325012
84553,445000.0,299.0,0.0,6.065947,46.325012
84563,294690.0,517.0,0.0,6.071791,46.317484
84601,518800.0,965.0,0.0,6.071791,46.317484
84639,390000.0,701.0,0.0,6.071791,46.317484
84677,285000.0,500.0,0.0,6.071791,46.317484
84715,535000.0,635.0,0.0,6.071791,46.317484
84753,295830.0,519.0,0.0,6.071791,46.317484
84791,665000.0,965.0,0.0,6.071791,46.317484
84190,505000.0,0.0,106.0,6.072026999999999,46.31193
84867,468000.0,0.0,101.0,6.068036,46.32647
84878,461420.0,0.0,100.0,6.068014,46.326772
84894,525000.0,800.0,127.0,6.067784,46.327760999999995
84897,588170.0,68.0,0.0,6.065285,46.326796
84904,641520.0,68.0,0.0,6.065285,46.326796
84916,588170.0,1155.0,143.0,6.067028,46.327509
84931,205000.0,0.0,74.0,6.072327,46.312776
84967,588170.0,313.0,0.0,6.065077,46.327358000000004
85020,641520.0,313.0,0.0,6.065077,46.327358000000004
85089,641520.0,878.0,133.0,6.064252,46.327185
